Cliente_Cod,Cliente_Status,Cliente_Idade,Cliente_Genero,Dependent_count,Cliente_Nivel_Educacao,Estado_Civil,Categoria_Cartao
789830058,Existing Customer,44,M,4,Unknown,Single,Blue
710299608,Attrited Customer,53,F,2,Unknown,Married,Blue
710741208,Existing Customer,39,M,2,High School,Single,Blue
821797008,Attrited Customer,49,M,5,College,Married,Blue
708874533,Attrited Customer,45,F,2,College,Married,Blue
715341858,Existing Customer,54,M,2,Graduate,Married,Blue
793636308,Existing Customer,49,M,3,Uneducated,Single,Blue
713779908,Existing Customer,46,F,3,Doctorate,Single,Blue
712125258,Attrited Customer,46,M,4,High School,Married,Blue
709703433,Existing Customer,47,M,3,Graduate,Married,Blue
721022433,Existing Customer,44,M,2,Doctorate,Single,Blue
710103558,Existing Customer,50,M,3,Post-Graduate,Single,Blue
715952883,Existing Customer,73,M,0,High School,Married,Blue
719731458,Existing Customer,56,M,3,Unknown,Unknown,Blue
772390908,Attrited Customer,59,M,0,High School,Single,Blue
787348608,Existing Customer,70,M,0,High School,Married,Blue
709485033,Existing Customer,55,F,2,High School,Married,Blue
715432608,Existing Customer,43,M,4,Unknown,Single,Blue
799471833,Existing Customer,45,M,1,Uneducated,Single,Blue
714187533,Existing Customer,45,F,2,Uneducated,Single,Blue
779656908,Existing Customer,40,M,1,Graduate,Married,Blue
788950158,Existing Customer,36,M,2,College,Unknown,Blue
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,Blue
710620383,Existing Customer,43,M,4,Unknown,Married,Blue
778661358,Existing Customer,46,F,1,Unknown,Married,Blue
789483333,Existing Customer,41,M,2,Uneducated,Married,Blue
809855808,Existing Customer,51,F,2,Graduate,Married,Blue
718464258,Existing Customer,51,F,3,Unknown,Unknown,Blue
708528483,Existing Customer,43,F,4,Graduate,Divorced,Blue
771809733,Attrited Customer,64,F,0,High School,Married,Blue
719942883,Existing Customer,54,M,5,Graduate,Married,Blue
807226683,Existing Customer,48,M,3,Unknown,Single,Blue
717806133,Existing Customer,40,M,2,Uneducated,Divorced,Blue
720615708,Existing Customer,57,M,0,Uneducated,Married,Blue
714511758,Existing Customer,45,M,4,Graduate,Single,Blue
715050408,Existing Customer,41,M,3,High School,Single,Blue
721132233,Existing Customer,42,F,4,Uneducated,Married,Blue
719211558,Attrited Customer,45,M,2,Graduate,Single,Blue
712069008,Existing Customer,42,F,4,Uneducated,Married,Blue
715996983,Existing Customer,47,M,4,Uneducated,Divorced,Blue
773466258,Existing Customer,48,F,4,High School,Married,Blue
798983508,Existing Customer,43,M,1,Graduate,Single,Silver
719117433,Existing Customer,41,M,4,High School,Unknown,Blue
716451183,Existing Customer,54,F,1,Uneducated,Married,Blue
718621608,Attrited Customer,54,F,2,High School,Married,Blue
715085733,Existing Customer,61,M,0,Graduate,Married,Blue
788977833,Existing Customer,61,M,0,Uneducated,Married,Blue
720272958,Attrited Customer,48,M,2,High School,Married,Blue
708421833,Existing Customer,45,F,4,Graduate,Single,Blue
709173108,Attrited Customer,54,F,4,Graduate,Married,Blue
709879458,Existing Customer,54,F,3,Doctorate,Married,Blue
715120608,Existing Customer,44,M,3,Graduate,Single,Blue
770632758,Existing Customer,50,F,4,Doctorate,Single,Blue
779078733,Existing Customer,55,M,2,Doctorate,Married,Blue
771742533,Existing Customer,48,M,2,Graduate,Unknown,Blue
720250158,Existing Customer,45,M,2,College,Single,Blue
716458983,Existing Customer,60,M,0,High School,Married,Blue
713747733,Existing Customer,55,M,2,High School,Married,Blue
712270158,Existing Customer,62,F,0,High School,Married,Blue
789562383,Existing Customer,38,F,1,High School,Unknown,Blue
754897008,Existing Customer,46,M,3,High School,Single,Blue
819700533,Existing Customer,50,M,0,High School,Single,Silver
712890408,Existing Customer,45,M,2,Uneducated,Married,Blue
720248208,Existing Customer,47,M,3,Post-Graduate,Divorced,Blue
779749908,Existing Customer,48,M,4,College,Married,Gold
717401883,Existing Customer,35,M,3,Uneducated,Married,Blue
721509558,Existing Customer,51,M,2,Graduate,Married,Blue
710572458,Existing Customer,36,F,3,High School,Married,Blue
714576183,Existing Customer,47,M,4,Graduate,Single,Blue
721425558,Existing Customer,52,M,2,Graduate,Single,Blue
711109908,Existing Customer,43,F,4,Uneducated,Married,Blue
715203108,Existing Customer,63,M,2,High School,Married,Blue
710027508,Existing Customer,61,M,0,Graduate,Married,Blue
787464408,Existing Customer,53,M,2,Uneducated,Single,Blue
783542133,Existing Customer,53,F,3,Graduate,Married,Blue
708330858,Attrited Customer,57,M,3,Graduate,Married,Blue
714426783,Existing Customer,38,F,2,Graduate,Single,Blue
712701333,Existing Customer,53,M,3,High School,Married,Blue
709494483,Existing Customer,63,F,0,Unknown,Married,Blue
773373108,Existing Customer,49,F,4,High School,Married,Blue
715812258,Existing Customer,45,M,2,High School,Married,Blue
778286433,Existing Customer,67,M,0,Graduate,Married,Blue
789270033,Existing Customer,48,M,3,Graduate,Single,Silver
711569433,Existing Customer,51,F,2,Uneducated,Divorced,Blue
720214833,Existing Customer,52,M,2,High School,Single,Silver
709346133,Existing Customer,55,F,2,Uneducated,Married,Blue
788194458,Existing Customer,34,M,3,High School,Married,Blue
720779733,Existing Customer,56,M,1,Uneducated,Married,Blue
717424458,Existing Customer,44,F,2,Post-Graduate,Married,Blue
708820308,Existing Customer,47,M,3,Post-Graduate,Unknown,Blue
710558058,Existing Customer,46,F,3,Unknown,Married,Blue
770590758,Existing Customer,43,F,3,Graduate,Single,Blue
718490658,Existing Customer,50,F,1,Graduate,Single,Blue
711985833,Existing Customer,38,F,4,Uneducated,Single,Blue
708967608,Existing Customer,53,F,1,Graduate,Single,Blue
718505958,Existing Customer,43,M,5,Graduate,Divorced,Silver
715024233,Existing Customer,53,M,1,High School,Married,Blue
779249583,Existing Customer,56,F,1,Graduate,Married,Blue
709278258,Attrited Customer,54,M,2,Unknown,Married,Blue
778928283,Existing Customer,57,F,3,High School,Married,Blue
712299858,Existing Customer,62,M,1,High School,Married,Blue
799224108,Existing Customer,46,F,4,Graduate,Single,Blue
809976033,Existing Customer,49,M,2,Uneducated,Married,Blue
716203308,Existing Customer,52,M,3,Graduate,Single,Blue
714871683,Attrited Customer,58,M,1,Uneducated,Married,Blue
716139933,Existing Customer,54,M,0,High School,Married,Blue
716984658,Existing Customer,49,M,1,Graduate,Married,Blue
713086008,Existing Customer,58,F,3,High School,Married,Blue
713773458,Existing Customer,52,M,2,High School,Single,Blue
719242533,Existing Customer,41,M,5,High School,Married,Blue
772712658,Existing Customer,62,F,0,Uneducated,Married,Blue
788868858,Existing Customer,54,M,2,Graduate,Married,Blue
811898133,Existing Customer,40,F,3,High School,Divorced,Blue
788808633,Existing Customer,43,M,3,Graduate,Married,Blue
779804208,Existing Customer,53,F,2,Graduate,Single,Blue
781391058,Existing Customer,55,M,1,Uneducated,Single,Blue
790134408,Existing Customer,46,M,4,Graduate,Single,Blue
788853258,Existing Customer,41,M,1,Uneducated,Married,Blue
711857733,Existing Customer,49,M,3,Uneducated,Single,Blue
822969858,Existing Customer,61,F,0,Graduate,Married,Blue
719554758,Existing Customer,46,M,2,Uneducated,Married,Blue
711643458,Existing Customer,50,F,1,Uneducated,Married,Blue
788830683,Existing Customer,40,M,2,Graduate,Single,Blue
807030858,Existing Customer,51,M,4,High School,Single,Blue
793059108,Existing Customer,50,F,2,Graduate,Married,Blue
716568708,Existing Customer,47,F,2,Graduate,Married,Blue
828281733,Existing Customer,43,M,4,Unknown,Married,Blue
717229158,Existing Customer,36,F,4,Graduate,Married,Blue
715915458,Existing Customer,47,F,2,Graduate,Married,Blue
819129858,Existing Customer,46,F,2,Graduate,Single,Blue
713441958,Existing Customer,46,M,2,High School,Married,Blue
719091333,Existing Customer,52,M,0,Uneducated,Married,Blue
708666258,Existing Customer,43,M,4,Unknown,Married,Blue
714914583,Existing Customer,40,F,4,Graduate,Single,Blue
714363858,Existing Customer,54,F,4,High School,Married,Blue
721347408,Existing Customer,55,F,1,High School,Single,Blue
809608533,Existing Customer,49,F,4,Post-Graduate,Single,Blue
772047183,Existing Customer,45,M,4,High School,Married,Blue
714217908,Existing Customer,49,M,3,Graduate,Married,Blue
714819183,Existing Customer,63,M,1,Uneducated,Married,Blue
716455683,Existing Customer,40,F,3,High School,Single,Gold
710865633,Existing Customer,41,F,2,Graduate,Married,Silver
752952108,Existing Customer,37,M,4,Graduate,Married,Blue
712595433,Existing Customer,58,M,2,Uneducated,Unknown,Blue
714982383,Existing Customer,55,M,2,High School,Married,Blue
813814008,Existing Customer,53,F,1,High School,Married,Blue
794545983,Existing Customer,57,M,2,Graduate,Married,Blue
708288108,Attrited Customer,43,M,4,Post-Graduate,Unknown,Blue
715585158,Existing Customer,58,M,1,Graduate,Married,Blue
810449883,Existing Customer,64,M,0,Unknown,Married,Blue
789863208,Existing Customer,54,F,2,Graduate,Married,Blue
715022133,Existing Customer,53,M,2,Graduate,Married,Blue
712506708,Existing Customer,39,F,3,College,Single,Blue
715699983,Existing Customer,56,M,3,High School,Married,Blue
818942433,Existing Customer,54,F,4,Unknown,Divorced,Blue
712459233,Existing Customer,59,F,1,Post-Graduate,Married,Blue
716545383,Existing Customer,42,M,3,Uneducated,Single,Blue
721144383,Existing Customer,42,M,4,Graduate,Married,Silver
821837958,Existing Customer,43,M,3,College,Unknown,Blue
804359133,Existing Customer,55,M,0,High School,Married,Blue
713308683,Existing Customer,52,M,1,Uneducated,Single,Blue
788780958,Existing Customer,46,M,1,Uneducated,Unknown,Blue
717354558,Attrited Customer,57,M,2,Uneducated,Married,Blue
798473808,Existing Customer,48,M,3,College,Married,Blue
712372158,Existing Customer,45,M,4,Unknown,Married,Blue
715192308,Existing Customer,48,M,2,High School,Married,Blue
708813033,Existing Customer,47,M,1,Graduate,Single,Blue
714639783,Attrited Customer,42,M,3,College,Married,Blue
709311633,Existing Customer,41,M,2,Graduate,Unknown,Silver
709470858,Existing Customer,51,M,4,College,Married,Silver
717292758,Existing Customer,55,F,2,Graduate,Single,Blue
779241783,Existing Customer,67,M,1,Uneducated,Married,Blue
715205358,Existing Customer,39,M,1,Graduate,Married,Blue
778871508,Existing Customer,54,M,3,Post-Graduate,Single,Blue
779462433,Existing Customer,55,F,2,Unknown,Married,Blue
710147958,Existing Customer,47,M,3,High School,Married,Silver
709864833,Existing Customer,49,M,2,Post-Graduate,Married,Blue
778868958,Attrited Customer,42,F,2,Graduate,Married,Blue
717276708,Existing Customer,57,M,2,Unknown,Single,Blue
710004933,Existing Customer,44,M,5,Uneducated,Married,Blue
753606108,Existing Customer,56,M,3,Unknown,Single,Blue
710940183,Attrited Customer,49,F,3,Graduate,Married,Blue
718927533,Existing Customer,45,M,3,Graduate,Single,Blue
719337408,Existing Customer,63,M,0,High School,Married,Blue
772308408,Existing Customer,44,M,3,Graduate,Single,Blue
712981383,Existing Customer,44,F,4,College,Married,Silver
790099758,Existing Customer,40,M,3,High School,Married,Blue
709547658,Attrited Customer,39,M,2,Uneducated,Single,Blue
778770783,Existing Customer,42,M,4,High School,Married,Blue
713134458,Existing Customer,54,M,3,High School,Married,Blue
712159083,Attrited Customer,58,F,4,Unknown,Married,Blue
713639958,Existing Customer,46,F,4,Graduate,Divorced,Blue
771180033,Existing Customer,47,F,4,Unknown,Divorced,Blue
717916758,Existing Customer,67,F,0,Unknown,Married,Blue
711089733,Existing Customer,50,F,2,College,Divorced,Blue
716988633,Existing Customer,55,M,0,High School,Divorced,Blue
779031033,Existing Customer,46,F,2,Graduate,Married,Blue
716302383,Existing Customer,47,F,4,Uneducated,Married,Blue
718281408,Existing Customer,36,F,2,Unknown,Married,Blue
721333233,Existing Customer,40,M,4,Doctorate,Divorced,Blue
794496033,Existing Customer,57,M,2,Unknown,Single,Blue
710519433,Existing Customer,48,M,1,Unknown,Divorced,Blue
814995933,Existing Customer,58,F,3,Graduate,Married,Blue
721469433,Existing Customer,48,M,3,Graduate,Single,Blue
788386908,Existing Customer,48,M,3,Graduate,Unknown,Platinum
717198633,Existing Customer,53,F,2,College,Married,Blue
767695083,Existing Customer,50,M,2,Graduate,Married,Blue
711791583,Attrited Customer,52,F,1,Graduate,Single,Blue
712315683,Attrited Customer,53,F,2,Uneducated,Single,Blue
710038008,Existing Customer,56,F,1,Graduate,Single,Blue
789129033,Existing Customer,44,M,5,Unknown,Single,Blue
718349058,Existing Customer,49,M,3,High School,Married,Blue
789842283,Attrited Customer,54,M,2,Graduate,Married,Blue
714513033,Existing Customer,39,F,1,Unknown,Single,Blue
714717483,Existing Customer,39,F,3,Uneducated,Divorced,Blue
714900408,Existing Customer,41,F,4,High School,Single,Blue
719418933,Attrited Customer,53,M,2,Uneducated,Married,Blue
720115683,Existing Customer,47,M,3,Uneducated,Married,Blue
779504058,Existing Customer,46,F,2,Post-Graduate,Married,Blue
795979833,Existing Customer,53,F,1,High School,Married,Blue
717392358,Existing Customer,60,M,1,Graduate,Married,Blue
718640508,Existing Customer,59,F,0,Graduate,Single,Blue
803366358,Existing Customer,38,M,1,Unknown,Single,Blue
709230708,Existing Customer,56,M,4,Uneducated,Single,Blue
781794708,Attrited Customer,35,M,3,Post-Graduate,Unknown,Blue
801383808,Existing Customer,50,M,3,Graduate,Single,Blue
710677608,Existing Customer,53,M,2,Post-Graduate,Unknown,Blue
708217758,Existing Customer,63,M,2,Graduate,Married,Blue
714272658,Attrited Customer,43,F,2,Uneducated,Single,Blue
717469158,Existing Customer,46,M,2,Unknown,Married,Blue
711864783,Existing Customer,61,M,1,Uneducated,Single,Blue
719407983,Existing Customer,37,F,0,Post-Graduate,Married,Blue
710665533,Existing Customer,42,F,5,Doctorate,Married,Blue
716804283,Existing Customer,41,M,2,Uneducated,Divorced,Blue
767294658,Attrited Customer,56,M,2,College,Single,Blue
709122483,Existing Customer,56,M,3,Graduate,Married,Blue
