Fatura_Cod,Produto,Quantidade,Preco_Unitario,Fatura_Total,Data,Cliente_Cod,Dist_Cod
1571194,POWER BANK CHARGER,3,9.99,29.97,26/05/2024 02:45,718619883,1131-152270
3671937,ORGANIC TEA INFUSIONS,2,3.0,6.0,26/05/2024 02:50,718619883,47112-254209
5781737,DIY KITS FOR BEGINNERS,2,4.5,9.0,26/05/2024 02:55,811005858,17525-173965
1941329,RAINBOW UNICORN T-SHIRT,2,3.12,6.24,26/05/2024 03:00,716782758,24048-230447
6719845,SPACEBOY LUNCH BOX,1,1.0,1.0,26/05/2024 03:05,717624708,2341-2483
6308201,CHOCOLATE CHIP COOKIES,1,10.77,10.77,26/05/2024 03:10,712136058,19870-129824
6815548,POWER BANK CHARGER,1,9.99,9.99,26/05/2024 03:15,714217908,32358-136391
5265265,ECO-FRIENDLY BAMBOO TOOTHBRUSH,3,0.75,2.25,26/05/2024 03:20,734924658,48592-263945
7717429,PORTABLE BLUETOOTH SPEAKER,1,17.99,17.99,26/05/2024 03:25,714405183,10008-98261
5917877,REUSABLE GROCERY BAGS,1,1.99,1.99,26/05/2024 03:30,717107808,72875-74151
8158242,SPACEBOY LUNCH BOX,3,1.0,3.0,26/05/2024 03:35,716900433,20312-204775
5930409,SHORT NIKE M,3,2.0,6.0,26/05/2024 03:40,823548858,33383-64264
4802255,WATER BOTTLE WITH FILTER,2,1.49,2.98,26/05/2024 03:45,788966958,29826-255550
1187412,FRESHLY BAKED BREAD,1,1.49,1.49,26/05/2024 03:50,720141408,29464-253164
2051957,BLUE COAT RACK PARIS FASHION,3,22.29,66.87,26/05/2024 03:55,715842183,27133-154144
1772423,EMERGENCY BLANKET,2,2.99,5.98,26/05/2024 04:00,787638408,10220-99622
7210149,ORGANIC HONEY,2,1.49,2.98,26/05/2024 04:05,789875883,10780-102728
1347618,HIGH QUALITY COFFEE BEANS,2,1.79,3.58,26/05/2024 04:10,779122908,21312-211228
1357689,PORTABLE BLUETOOTH SPEAKER,3,17.99,53.97,26/05/2024 04:15,710703708,29012-251545
9573243,VEGAN BURGERS,3,3.49,10.47,26/05/2024 04:20,716165508,29608-254411
5016674,MINIATURE TERRARIUM,1,2.79,2.79,26/05/2024 04:25,716160708,25605-241527
4330989,LUXURY BATH BOMB SET,1,335.8,335.8,26/05/2024 04:30,779577108,73561-82103
6121620,DIY CANDLE MAKING KIT,2,5.2,10.4,26/05/2024 04:35,772569033,28950-237775
4684137,WATERPROOF PHONE CASE,3,0.85,2.55,26/05/2024 04:40,715199808,33278-97336
1707344,CHOCOLATE CHIP COOKIES,3,10.77,32.31,26/05/2024 04:45,720575058,11869-105617
6352831,CHOCOLATE CHIP COOKIES,1,10.77,10.77,26/05/2024 04:50,719924433,72549-101114
2439661,HIGH QUALITY COFFEE BEANS,1,1.79,1.79,26/05/2024 04:55,720515883,24882-239327
1673266,RAINBOW UNICORN T-SHIRT,2,3.12,6.24,26/05/2024 05:00,708174708,18965-184544
9959546,FRESHLY BAKED BREAD,1,1.49,1.49,26/05/2024 05:05,720988083,16182-169204
6992070,ORGANIC TEA INFUSIONS,1,3.0,3.0,26/05/2024 05:10,711838008,48307-262809
6603605,ORGANIC TEA INFUSIONS,3,3.0,9.0,26/05/2024 05:15,795979833,79781-133528
1822609,VEGAN BURGERS,2,3.49,6.98,26/05/2024 05:20,789533133,48136-261246
4647249,CLASSIC BLACK SUNGLASSES,2,3.71,7.42,26/05/2024 05:25,718637208,5318-332
1036424,FIRST AID KIT,1,3.99,3.99,26/05/2024 05:30,719863758,34507-97433
3940319,POWER BANK CHARGER,1,9.99,9.99,26/05/2024 05:35,714690633,30854-101588
5317031,REUSABLE GROCERY BAGS,2,1.99,3.98,26/05/2024 05:40,710787708,25929-242004
8026455,VEGAN BURGERS,2,3.49,6.98,26/05/2024 05:45,718665033,21661-214107
6497895,DIY CANDLE MAKING KIT,3,5.2,15.6,26/05/2024 05:50,708438033,31180-106521
7643424,CHOCOLATE CAKE,3,2.99,8.97,26/05/2024 05:55,718870158,50196-270010
4139182,SUSHI MAKING KIT,1,6.99,6.99,26/05/2024 06:00,804663258,3247-121144
6397099,PIZZA SLICES,3,3.99,11.97,26/05/2024 06:05,716219808,27332-247253
6647223,ECO-FRIENDLY BAMBOO TOOTHBRUSH,2,0.75,1.5,26/05/2024 06:10,804661083,22328-202165
1799521,BOARD GAMES COLLECTION,1,9.99,9.99,26/05/2024 06:15,719904333,11392-105407
4850451,AROMATHERAPY DIFFUSER,3,3.49,10.47,26/05/2024 06:20,712019883,6728-72435
4945455,HANDMADE CERAMIC MUG,1,3.3,3.3,26/05/2024 06:25,712718958,6539-155146
5208662,EMERGENCY BLANKET,1,2.99,2.99,26/05/2024 06:30,769751958,74731-97006
8562306,ORGANIC HONEY,1,1.49,1.49,26/05/2024 06:35,708402333,28995-252015
8569779,SMART WATCH FITNESS TRACKER,2,32.99,65.98,26/05/2024 06:40,815504583,12805-140548
7609429,CHOCOLATE CHIP COOKIES,2,10.77,21.54,26/05/2024 06:45,720087708,19923-195067
6935460,BOARD GAMES COLLECTION,3,9.99,29.97,26/05/2024 06:50,720074583,24883-200585
9802558,GIN TONIC ABSOLUT,3,2.43,7.29,26/05/2024 06:55,721175283,48288-262065
1827970,PIZZA SLICES,3,3.99,11.97,26/05/2024 07:00,711452583,9137-152278
1910444,VELVET CUSHION COVER,3,9.45,28.35,26/05/2024 07:05,809538783,72126-4209
6709555,HIGH QUALITY COFFEE BEANS,1,1.79,1.79,26/05/2024 07:10,711017433,22716-223428
6221759,INSTANT CAMERA FILM,1,0.99,0.99,26/05/2024 07:15,787665258,25724-242304
2088553,CHESS SET,2,27.99,55.98,26/05/2024 07:20,719242533,2486-28895
4045392,GIN TONIC ABSOLUT,1,2.43,2.43,26/05/2024 07:25,719881533,12177-23186
3722286,SUNSCREEN SPF 50,3,1.99,5.97,26/05/2024 07:30,783361533,14992-153905
7490461,SHORT NIKE M,2,2.0,4.0,26/05/2024 07:35,758086458,23190-228550
3137929,SHORT NIKE M,2,2.0,4.0,26/05/2024 07:40,802675983,6759-76042
4681533,MODERN WALL ART PRINT,2,4.2,8.4,26/05/2024 07:45,714691683,27130-106119
9339852,DIY KITS FOR BEGINNERS,3,4.5,13.5,26/05/2024 07:50,714499908,26032-243045
6350067,VELVET CUSHION COVER,3,9.45,28.35,26/05/2024 07:55,709785783,18777-195025
1580654,HIGH QUALITY COFFEE BEANS,1,1.79,1.79,26/05/2024 08:00,713375658,18253-186106
3488844,MODERN WALL ART PRINT,2,4.2,8.4,26/05/2024 08:05,712894308,32526-138176
5905033,PERSONALIZED NOTEBOOK,1,1.89,1.89,26/05/2024 08:10,711549408,23417-229008
2653650,HANDMADE SOAP BAR,1,2.49,2.49,26/05/2024 08:15,712428333,18662-190104
6289066,CHOCOLATE CHIP COOKIES,2,10.77,21.54,26/05/2024 08:20,715498308,3347-9592
9502776,PINK FLAMINGO BEACH TOWEL,2,3.69,7.38,26/05/2024 08:25,713934633,5933-40359
8604202,SPACEBOY LUNCH BOX,3,1.0,3.0,26/05/2024 08:30,789433758,5857-16354
8536455,BLUE COAT RACK PARIS FASHION,2,22.29,44.58,26/05/2024 08:35,717787533,25177-239544
4682924,VEGAN BURGERS,3,3.49,10.47,26/05/2024 08:40,712141683,75133-64500
8719931,ORGANIC HONEY,1,1.49,1.49,26/05/2024 08:45,720457608,8363-12119
5703224,BLUE COAT RACK PARIS FASHION,1,22.29,22.29,26/05/2024 08:50,713854608,76319-95711
1861064,SUSHI MAKING KIT,2,6.99,13.98,26/05/2024 08:55,710912733,2420-201504
4727491,SUSHI MAKING KIT,2,6.99,13.98,26/05/2024 09:00,815838633,475-7987
8711650,DIY CANDLE MAKING KIT,3,5.2,15.6,26/05/2024 09:05,716225433,29390-253569
9202305,FRESHLY BAKED BREAD,1,1.49,1.49,26/05/2024 09:10,719947533,2325-2482
6374642,SUNSCREEN SPF 50,3,1.99,5.97,26/05/2024 09:15,708931908,72564-102069
6975787,BOARD GAMES COLLECTION,1,9.99,9.99,26/05/2024 09:20,818923158,3329-20339
8486103,ORGANIC TEA INFUSIONS,2,3.0,6.0,26/05/2024 09:25,716606733,23290-229028
5238961,ORGANIC HONEY,3,1.49,4.47,26/05/2024 09:30,711145008,5032-141554
4582304,TRAVEL ADAPTERS SET,3,2.2,6.6,26/05/2024 09:35,812618883,28618-249933
7566891,WATERPROOF PHONE CASE,3,0.85,2.55,26/05/2024 09:40,708880683,4086-140770
3325276,FOLDABLE SHOPPING BAG,3,0.99,2.97,26/05/2024 09:45,713299758,33430-95281
8216724,MINIATURE TERRARIUM,2,2.79,5.58,26/05/2024 09:50,713019783,23480-230704
7449845,PIZZA SLICES,3,3.99,11.97,26/05/2024 09:55,712801758,4444-149991
9007899,SMART WATCH FITNESS TRACKER,3,32.99,98.97,26/05/2024 10:00,714664683,38122-84664
2433896,HEADPHONES WITH NOISE CANCELLATION,3,25.99,77.97,26/05/2024 10:05,712593933,29008-250878
4343397,CHOCOLATE CAKE,3,2.99,8.97,26/05/2024 10:10,720729108,47892-252984
5241518,HIGH QUALITY COFFEE BEANS,1,1.79,1.79,26/05/2024 10:15,709530408,31412-107164
4751011,DIGITAL DRAWING TABLET,2,8.99,17.98,26/05/2024 10:20,719415858,20851-208705
6213499,HIGH QUALITY COFFEE BEANS,2,1.79,3.58,26/05/2024 10:25,717646983,22590-221945
3138658,LUXURY BATH BOMB SET,1,335.8,335.8,26/05/2024 10:30,771776808,76379-97062
3837982,WATER BOTTLE WITH FILTER,2,1.49,2.98,26/05/2024 10:35,710729358,21719-214686
7901682,TRAVEL BACKPACK,1,11.99,11.99,26/05/2024 10:40,713461533,48505-263367
5385577,SPACEBOY LUNCH BOX,3,1.0,3.0,26/05/2024 10:45,714536208,5084-148264
9371062,DIY KITS FOR BEGINNERS,1,4.5,4.5,26/05/2024 10:50,713079108,28858-251646
5917517,HANDMADE CERAMIC MUG,1,3.3,3.3,26/05/2024 10:55,713487633,6155-147766
6640829,ORGANIC HONEY,2,1.49,2.98,26/05/2024 11:00,714048783,47722-259544
3154921,HANDMADE CERAMIC MUG,3,3.3,9.9,26/05/2024 11:05,771669183,17153-179207
2040645,SMART WATCH FITNESS TRACKER,3,32.99,98.97,26/05/2024 11:10,789903708,75917-104380
4088286,INSTANT CAMERA FILM,1,0.99,0.99,26/05/2024 11:15,714917583,3018-138710
5334935,HEADPHONES WITH NOISE CANCELLATION,3,25.99,77.97,26/05/2024 11:20,720513333,79208-97074
5912757,MODERN WALL ART PRINT,3,4.2,12.6,26/05/2024 11:25,801037833,22808-222385
7635069,MODERN WALL ART PRINT,1,4.2,4.2,26/05/2024 11:30,717920583,22590-221945
8330657,WATERPROOF PHONE CASE,2,0.85,1.7,26/05/2024 11:35,815315058,23731-222608
3595360,GIN TONIC ABSOLUT,3,2.43,7.29,26/05/2024 11:40,789987183,11111-102552
7900395,HANDMADE SOAP BAR,1,2.49,2.49,26/05/2024 11:45,772031733,5416-1261
3011818,SPICED TEA MIX,2,0.99,1.98,26/05/2024 11:50,813901458,75291-98412
4019616,MINIATURE TERRARIUM,2,2.79,5.58,26/05/2024 11:55,789760233,74489-96264
2611399,LUXURY CANDLE SET,2,4.99,9.98,26/05/2024 12:00,717953283,23460-230450
1219097,CLASSIC BLACK SUNGLASSES,1,3.71,3.71,26/05/2024 12:05,779882508,2866-25929
9139977,REUSABLE GROCERY BAGS,2,1.99,3.98,26/05/2024 12:10,780360558,49088-266966
6130029,POWER BANK CHARGER,2,9.99,19.98,26/05/2024 12:15,817607358,75932-105898
3679896,CLASSIC BLACK SUNGLASSES,3,3.71,11.13,26/05/2024 12:20,717529233,5864-27908
4184405,VEGAN BURGERS,2,3.49,6.98,26/05/2024 12:25,767488908,19500-201864
9998774,DIGITAL DRAWING TABLET,2,8.99,17.98,26/05/2024 12:30,780040758,30001-9512
8737117,EMERGENCY BLANKET,3,2.99,8.97,26/05/2024 12:35,713685033,19792-198926
7184495,VEGAN BURGERS,2,3.49,6.98,26/05/2024 12:40,772116408,30465-86682
7405694,SUNSCREEN SPF 50,3,1.99,5.97,26/05/2024 12:45,779279883,49018-266307
2116193,HANDMADE CERAMIC MUG,1,3.3,3.3,26/05/2024 12:50,711173058,75896-101808
1852756,REUSABLE GROCERY BAGS,3,1.99,5.97,26/05/2024 12:55,789707433,25902-231686
4505216,EMERGENCY BLANKET,2,2.99,5.98,26/05/2024 13:00,779445108,11146-103004
5119237,WATER BOTTLE WITH FILTER,2,1.49,2.98,26/05/2024 13:05,711064008,9876-97025
3229751,ORGANIC HONEY,2,1.49,2.98,26/05/2024 13:10,779523258,15752-162106
2144556,SUNSCREEN SPF 50,2,1.99,3.98,26/05/2024 13:15,713436183,7499-6006
9265676,MODERN WALL ART PRINT,2,4.2,8.4,26/05/2024 13:20,721532583,74161-24428
6375535,FRESHLY BAKED BREAD,1,1.49,1.49,26/05/2024 13:25,715381533,23998-234224
6784432,WATERPROOF PHONE CASE,2,0.85,1.7,26/05/2024 13:30,720219633,29671-254825
3261615,FOLDABLE SHOPPING BAG,3,0.99,2.97,26/05/2024 13:35,711577458,28577-249739
1537775,PERSONALIZED NOTEBOOK,2,1.89,3.78,26/05/2024 13:40,768420558,25078-237919
8974139,VEGAN BURGERS,3,3.49,10.47,26/05/2024 13:45,709861008,5642-1690
9963056,DIGITAL DRAWING TABLET,1,8.99,8.99,26/05/2024 13:50,719809533,9032-151827
1015781,SPACEBOY LUNCH BOX,3,1.0,3.0,26/05/2024 13:55,721268133,9212-9394
4786042,HIGH QUALITY COFFEE BEANS,3,1.79,5.37,26/05/2024 14:00,714963558,17432-181869
4283661,RAINBOW UNICORN T-SHIRT,3,3.12,9.36,26/05/2024 14:05,789082758,28153-249617
8257660,HANDMADE SOAP BAR,1,2.49,2.49,26/05/2024 14:10,708727983,24178-236404
3141759,BOARD GAMES COLLECTION,3,9.99,29.97,26/05/2024 14:15,710715783,11216-103550
4578967,SPICED TEA MIX,3,0.99,2.97,26/05/2024 14:20,709306983,4726-101459
7408471,VEGAN BURGERS,2,3.49,6.98,26/05/2024 14:25,772825308,79346-74180
8745971,SHORT NIKE M,1,2.0,2.0,26/05/2024 14:30,713168733,24964-239005
4482993,SUSHI MAKING KIT,2,6.99,13.98,26/05/2024 14:35,721045608,6917-85887
8950345,CHESS SET,3,27.99,83.97,26/05/2024 14:40,719651358,2918-92933
8368368,AROMATHERAPY DIFFUSER,2,3.49,6.98,26/05/2024 14:45,789643383,3474-72741
1231549,SPACEBOY LUNCH BOX,3,1.0,3.0,26/05/2024 14:50,809378133,23875-231824
1137541,VELVET CUSHION COVER,2,9.45,18.9,26/05/2024 14:55,792402483,23967-234504
2276204,MINIATURE TERRARIUM,3,2.79,8.37,26/05/2024 15:00,708811233,31794-116129
9619528,VELVET CUSHION COVER,2,9.45,18.9,26/05/2024 15:05,713804883,3977-138844
7363165,SUSHI MAKING KIT,2,6.99,13.98,26/05/2024 15:10,717578358,48905-250893
5121468,DIY KITS FOR BEGINNERS,3,4.5,13.5,26/05/2024 15:15,784994883,48487-263204
4302095,FROZEN YOGURT,1,1.99,1.99,26/05/2024 15:20,744764433,75366-101741
3523686,HEADPHONES WITH NOISE CANCELLATION,3,25.99,77.97,26/05/2024 15:25,711799458,28132-247129
6834372,EMERGENCY BLANKET,3,2.99,8.97,26/05/2024 15:30,711654558,12309-67500
9591977,SMART WATCH FITNESS TRACKER,2,32.99,65.98,26/05/2024 15:35,711533058,6030-137290
3377071,MODERN WALL ART PRINT,1,4.2,4.2,26/05/2024 15:40,711877458,47603-258968
3013147,HANDMADE SOAP BAR,3,2.49,7.47,26/05/2024 15:45,813752433,9320-96196
4627551,BOARD GAMES COLLECTION,2,9.99,19.98,26/05/2024 15:50,712693908,2856-87862
8661536,FRUIT SALAD,3,1.29,3.87,26/05/2024 15:55,715352883,9739-96736
7633118,VELVET CUSHION COVER,1,9.45,9.45,26/05/2024 16:00,712515558,14771-125684
